FIPS,COUNAM,STABBREV,STATNAM,POP2020,TOTCNG_2020,TOTADH_2020,TOTRATE_2020,NAME,pct_bachelors,pct_highschool
48301,Loving County,TX,Texas,64,0,0,0.0,"Loving County, Texas",0.0,14.77
15005,Kalawao County,HI,Hawaii,82,3,36,43.90000153,"Kalawao County, Hawaii",38.34,12.47
48269,King County,TX,Texas,265,2,1199,452.4500122,"King County, Texas",9.91,51.35
48261,Kenedy County,TX,Texas,350,1,221,63.13999939,"Kenedy County, Texas",0.37,8.89
31117,McPherson County,NE,Nebraska,399,2,134,33.59000015,"McPherson County, Nebraska",18.48,25.81
31009,Blaine County,NE,Nebraska,431,5,253,58.69999695,"Blaine County, Nebraska",13.3,39.1
31005,Arthur County,NE,Nebraska,434,1,0,0.0,"Arthur County, Nebraska",17.59,26.38
30069,Petroleum County,MT,Montana,496,2,37,7.460000038,"Petroleum County, Montana",21.69,36.06
48311,McMullen County,TX,Texas,600,2,329,54.83000183,"McMullen County, Texas",10.22,41.52
31115,Loup County,NE,Nebraska,607,1,21,3.460000038,"Loup County, Nebraska",16.17,30.74
31075,Grant County,NE,Nebraska,611,7,404,66.11000061,"Grant County, Nebraska",18.7,31.09
48033,Borden County,TX,Texas,631,3,274,43.41999817,"Borden County, Texas",36.18,17.97
35021,Harding County,NM,New Mexico,657,7,1027,156.3099976,"Harding County, New Mexico",14.89,19.15
02282,Yakutat City and Borough,AK,Alaska,662,4,406,61.33000183,"Yakutat City and Borough, Alaska",15.42,39.25
31171,Thomas County,NE,Nebraska,669,6,333,49.77999878,"Thomas County, Nebraska",20.88,22.74
31007,Banner County,NE,Nebraska,674,2,119,17.65999985,"Banner County, Nebraska",18.28,20.86
08111,San Juan County,CO,Colorado,705,7,424,60.13999939,"San Juan County, Colorado",21.98,26.93
38087,Slope County,ND,North Dakota,706,3,191,27.06000137,"Slope County, North Dakota",20.9,28.5
31091,Hooker County,NE,Nebraska,711,7,829,116.5899963,"Hooker County, Nebraska",21.9,32.75
31113,Logan County,NE,Nebraska,716,4,583,81.41999817,"Logan County, Nebraska",21.6,24.22
32009,Esmeralda County,NV,Nevada,729,2,99,13.59000015,"Esmeralda County, Nevada",12.77,24.52
48263,Kent County,TX,Texas,753,5,666,88.44000244,"Kent County, Texas",18.41,23.43
48443,Terrell County,TX,Texas,760,6,769,101.1900024,"Terrell County, Texas",19.13,19.77
30103,Treasure County,MT,Montana,762,4,337,44.22999954,"Treasure County, Montana",24.18,29.21
31103,Keya Paha County,NE,Nebraska,769,5,522,67.88000488,"Keya Paha County, Nebraska",16.78,27.63
31183,Wheeler County,NE,Nebraska,774,4,238,30.75,"Wheeler County, Nebraska",16.21,25.26
08053,Hinsdale County,CO,Colorado,788,3,202,25.63000107,"Hinsdale County, Colorado",30.12,13.0
16033,Clark County,ID,Idaho,790,2,229,28.98999977,"Clark County, Idaho",12.06,28.55
30037,Golden Valley County,MT,Montana,823,5,214,25.98999977,"Golden Valley County, Montana",16.12,33.49
48393,Roberts County,TX,Texas,827,4,513,62.02999878,"Roberts County, Texas",16.13,30.5
02060,Bristol Bay Borough,AK,Alaska,844,7,225,26.66000175,"Bristol Bay Borough, Alaska",20.32,24.96
31085,Hayes County,NE,Nebraska,856,5,333,38.90000153,"Hayes County, Nebraska",17.15,21.29
08079,Mineral County,CO,Colorado,865,5,363,41.95999908,"Mineral County, Colorado",36.0,14.86
46075,Jones County,SD,South Dakota,917,9,802,87.47000122,"Jones County, South Dakota",22.17,39.15
49009,Daggett County,UT,Utah,935,2,478,51.11999893,"Daggett County, Utah",10.24,38.58
30109,Wibaux County,MT,Montana,937,5,506,54.01000214,"Wibaux County, Montana",18.28,31.05
38007,Billings County,ND,North Dakota,945,3,92,9.730000496,"Billings County, North Dakota",19.78,34.07
48345,Motley County,TX,Texas,1063,9,684,64.34999847,"Motley County, Texas",13.76,34.4
16025,Camas County,ID,Idaho,1077,4,743,68.98999786,"Camas County, Idaho",15.03,27.02
30079,Prairie County,MT,Montana,1088,7,276,25.37000084,"Prairie County, Montana",16.96,22.69
48155,Foard County,TX,Texas,1095,7,625,57.06999969,"Foard County, Texas",9.49,23.5
48173,Glasscock County,TX,Texas,1116,5,846,75.80999756,"Glasscock County, Texas",18.07,21.28
31165,Sioux County,NE,Nebraska,1135,4,446,39.29999924,"Sioux County, Nebraska",20.09,25.5
30033,Garfield County,MT,Montana,1173,7,566,48.25,"Garfield County, Montana",16.74,35.15
06003,Alpine County,CA,California,1204,0,0,0.0,"Alpine County, California",19.77,23.77
02230,Skagway Municipality,AK,Alaska,1240,4,275,22.18000031,"Skagway Municipality, Alaska",19.22,24.07
48433,Stonewall County,TX,Texas,1245,10,2079,166.980011,"Stonewall County, Texas",9.19,37.34
31149,Rock County,NE,Nebraska,1262,6,584,46.27000427,"Rock County, Nebraska",22.74,28.27
46069,Hyde County,SD,South Dakota,1262,7,1127,89.30000305,"Hyde County, South Dakota",13.38,33.86
38083,Sheridan County,ND,North Dakota,1265,13,670,52.95999908,"Sheridan County, North Dakota",13.88,32.45
20071,Greeley County,KS,Kansas,1284,6,438,34.11000061,"Greeley County, Kansas",19.31,18.33
46063,Harding County,SD,South Dakota,1311,10,792,60.40000153,"Harding County, South Dakota",21.0,30.69
28055,Issaquena County,MS,Mississippi,1338,4,211,15.76999855,"Issaquena County, Mississippi",0.9,27.97
48431,Sterling County,TX,Texas,1372,7,995,72.52000427,"Sterling County, Texas",10.89,46.85
46021,Campbell County,SD,South Dakota,1377,12,1168,84.83000183,"Campbell County, South Dakota",25.75,26.2
08057,Jackson County,CO,Colorado,1379,5,264,19.14999962,"Jackson County, Colorado",22.29,19.8
48101,Cottle County,TX,Texas,1380,9,1239,89.77999878,"Cottle County, Texas",11.82,22.05
30011,Carter County,MT,Montana,1415,7,674,47.63000107,"Carter County, Montana",17.88,27.07
48137,Edwards County,TX,Texas,1422,11,1473,103.5800018,"Edwards County, Texas",15.07,21.83
48045,Briscoe County,TX,Texas,1435,10,1272,88.65000153,"Briscoe County, Texas",13.18,29.5
49031,Piute County,UT,Utah,1438,3,819,56.95000076,"Piute County, Utah",16.42,27.11
48447,Throckmorton County,TX,Texas,1440,9,1604,111.3899994,"Throckmorton County, Texas",14.62,30.08
08061,Kiowa County,CO,Colorado,1446,9,2207,152.6399994,"Kiowa County, Colorado",15.54,26.37
46119,Sully County,SD,South Dakota,1446,6,638,44.12999725,"Sully County, South Dakota",18.16,32.14
41069,Wheeler County,OR,Oregon,1451,7,520,35.84000015,"Wheeler County, Oregon",12.58,28.33
02164,Lake and Peninsula Borough,AK,Alaska,1476,9,663,44.91999817,"Lake and Peninsula Borough, Alaska",10.58,32.17
20199,Wallace County,KS,Kansas,1512,5,679,44.90999985,"Wallace County, Kansas",23.77,29.16
48235,Irion County,TX,Texas,1513,6,598,39.51999664,"Irion County, Texas",16.2,33.24
13265,Taliaferro County,GA,Georgia,1559,9,463,29.69999886,"Taliaferro County, Georgia",4.06,43.98
20101,Lane County,KS,Kansas,1574,7,1035,65.75,"Lane County, Kansas",12.8,27.38
02068,Denali Borough,AK,Alaska,1619,7,612,37.79999924,"Denali Borough, Alaska",25.62,25.35
31057,Dundy County,NE,Nebraska,1654,8,972,58.77000046,"Dundy County, Nebraska",17.16,22.12
30019,Daniels County,MT,Montana,1661,8,699,42.06999969,"Daniels County, Montana",17.16,31.49
46073,Jerauld County,SD,South Dakota,1663,10,1103,66.33000183,"Jerauld County, South Dakota",15.21,40.21
20033,Comanche County,KS,Kansas,1689,9,1139,67.43999481,"Comanche County, Kansas",14.27,33.54
30075,Powder River County,MT,Montana,1694,5,352,20.77000046,"Powder River County, Montana",16.32,29.12
35011,De Baca County,NM,New Mexico,1698,8,2249,132.4400024,"De Baca County, New Mexico",6.7,26.35
20083,Hodgeman County,KS,Kansas,1723,10,770,44.68000031,"Hodgeman County, Kansas",23.19,15.48
30055,McCone County,MT,Montana,1729,11,757,43.77999878,"McCone County, Montana",12.97,29.21
38033,Golden Valley County,ND,North Dakota,1736,8,946,54.5,"Golden Valley County, North Dakota",18.16,26.6
08017,Cheyenne County,CO,Colorado,1748,9,871,49.80999756,"Cheyenne County, Colorado",20.12,24.65
48359,Oldham County,TX,Texas,1758,6,514,29.24000168,"Oldham County, Texas",21.03,28.01
48125,Dickens County,TX,Texas,1770,15,1364,77.05999756,"Dickens County, Texas",11.4,28.16
38091,Steele County,ND,North Dakota,1798,11,1333,74.13999939,"Steele County, North Dakota",25.23,23.84
31015,Boyd County,NE,Nebraska,1810,18,1609,88.88000488,"Boyd County, Nebraska",12.77,41.55
31071,Garfield County,NE,Nebraska,1813,10,1693,93.38999939,"Garfield County, Nebraska",24.97,24.77
31049,Deuel County,NE,Nebraska,1838,10,897,48.81000137,"Deuel County, Nebraska",15.51,21.04
48011,Armstrong County,TX,Texas,1848,5,844,45.66999817,"Armstrong County, Texas",17.34,21.75
32011,Eureka County,NV,Nevada,1855,7,912,49.15999985,"Eureka County, Nevada",9.37,34.1
41055,Sherman County,OR,Oregon,1870,5,344,18.3900013,"Sherman County, Oregon",12.36,24.55
46055,Haakon County,SD,South Dakota,1872,16,1188,63.4600029,"Haakon County, South Dakota",15.43,42.06
31069,Garden County,NE,Nebraska,1874,11,880,46.95999908,"Garden County, Nebraska",17.36,26.93
38047,Logan County,ND,North Dakota,1876,9,1743,92.9200058,"Logan County, North Dakota",17.71,29.33
38065,Oliver County,ND,North Dakota,1877,3,1063,56.63000107,"Oliver County, North Dakota",16.42,27.01
31073,Gosper County,NE,Nebraska,1893,6,948,50.06999588,"Gosper County, Nebraska",20.8,25.32
46095,Mellette County,SD,South Dakota,1918,8,713,37.18000031,"Mellette County, South Dakota",10.5,28.92
30059,Meagher County,MT,Montana,1927,8,718,37.25,"Meagher County, Montana",20.48,38.63
46017,Buffalo County,SD,South Dakota,1948,5,1510,77.50999451,"Buffalo County, South Dakota",6.61,28.7
30051,Liberty County,MT,Montana,1959,12,1678,85.63999939,"Liberty County, Montana",15.74,17.67
48327,Menard County,TX,Texas,1962,11,982,50.04999924,"Menard County, Texas",15.15,20.06
29227,Worth County,MO,Missouri,1973,11,2897,146.8300018,"Worth County, Missouri",12.16,39.05
20025,Clark County,KS,Kansas,1991,11,1213,60.93000031,"Clark County, Kansas",22.54,22.12
41021,Gilliam County,OR,Oregon,1995,6,336,16.84000015,"Gilliam County, Oregon",17.69,29.73
48243,Jeff Davis County,TX,Texas,1996,8,717,35.92999649,"Jeff Davis County, Texas",14.27,13.49
30045,Judith Basin County,MT,Montana,2023,8,514,25.40999985,"Judith Basin County, Montana",21.48,25.68
26083,Keweenaw County,MI,Michigan,2046,7,528,25.80999947,"Keweenaw County, Michigan",20.29,28.19
30107,Wheatland County,MT,Montana,2069,13,1418,68.54000092,"Wheatland County, Montana",14.99,32.62
02100,Haines Borough,AK,Alaska,2080,10,640,30.75999832,"Haines Borough, Alaska",16.72,24.65
20187,Stanton County,KS,Kansas,2084,7,1260,60.45999908,"Stanton County, Kansas",12.85,33.51
46049,Faulk County,SD,South Dakota,2125,9,1558,73.31999969,"Faulk County, South Dakota",14.73,25.46
02275,Wrangell City and Borough,AK,Alaska,2127,11,784,36.88000107,"Wrangell City and Borough, Alaska",11.51,28.77
20203,Wichita County,KS,Kansas,2152,9,777,36.09999847,"Wichita County, Kansas",18.59,24.9
38095,Towner County,ND,North Dakota,2162,10,1221,56.47000122,"Towner County, North Dakota",11.81,27.27
31077,Greeley County,NE,Nebraska,2188,10,2427,110.9299927,"Greeley County, Nebraska",12.04,33.77
48109,Culberson County,TX,Texas,2188,11,1817,83.04000092,"Culberson County, Texas",14.9,30.58
21201,Robertson County,KY,Kentucky,2193,7,513,23.38999939,"Robertson County, Kentucky",11.32,32.98
38023,Divide County,ND,North Dakota,2195,9,1390,63.32000351,"Divide County, North Dakota",13.8,28.09
38001,Adams County,ND,North Dakota,2200,13,1521,69.13000488,"Adams County, North Dakota",13.6,32.45
38013,Burke County,ND,North Dakota,2201,16,2043,92.84000397,"Burke County, North Dakota",18.57,25.31
51091,Highland County,VA,Virginia,2232,22,1237,55.41999817,"Highland County, Virginia",19.6,33.12
13239,Quitman County,GA,Georgia,2235,9,853,38.15000153,"Quitman County, Georgia",6.6,25.85
38075,Renville County,ND,North Dakota,2282,14,1936,84.83999634,"Renville County, North Dakota",18.31,31.42
53023,Garfield County,WA,Washington,2286,6,965,42.20000076,"Garfield County, Washington",17.13,24.52
40025,Cimarron County,OK,Oklahoma,2296,18,2094,91.19000244,"Cimarron County, Oklahoma",23.65,31.32
46097,Miner County,SD,South Dakota,2298,9,1247,54.26000214,"Miner County, South Dakota",16.86,38.46
38037,Grant County,ND,North Dakota,2301,17,1596,69.36999512,"Grant County, North Dakota",14.4,33.23
38039,Griggs County,ND,North Dakota,2306,16,1322,57.33000565,"Griggs County, North Dakota",22.2,25.23
08033,Dolores County,CO,Colorado,2326,8,427,18.34000015,"Dolores County, Colorado",15.76,31.83
46111,Sanborn County,SD,South Dakota,2330,9,1308,56.12000275,"Sanborn County, South Dakota",13.75,39.26
38027,Eddy County,ND,North Dakota,2347,10,1800,76.69000244,"Eddy County, North Dakota",16.67,25.22
13307,Webster County,GA,Georgia,2348,8,1024,43.61000061,"Webster County, Georgia",5.83,25.88
02105,Hoonah-Angoon Census Area,AK,Alaska,2365,12,455,19.23999786,"Hoonah-Angoon Census Area, Alaska",14.62,30.33
38043,Kidder County,ND,North Dakota,2394,14,1624,67.83999634,"Kidder County, North Dakota",14.36,29.12
08115,Sedgwick County,CO,Colorado,2404,7,889,36.98000336,"Sedgwick County, Colorado",13.54,21.06
