B15003_001E,B15003_017E,B15003_022E,NAME,state,county
37860,9663,6320,"Autauga County, Alabama",01,001
155563,34521,31444,"Baldwin County, Alabama",01,003
17797,5171,1296,"Barbour County, Alabama",01,005
15987,5879,1183,"Bibb County, Alabama",01,007
39814,10582,3540,"Blount County, Alabama",01,009
6784,2498,413,"Bullock County, Alabama",01,011
13820,5583,1396,"Butler County, Alabama",01,013
78967,21801,8296,"Calhoun County, Alabama",01,015
9405,3158,495,"Lewis County, Kentucky",21,135
16956,5407,1179,"Lincoln County, Kentucky",21,137
6606,2351,586,"Livingston County, Kentucky",21,139
18589,6471,1911,"Logan County, Kentucky",21,141
6557,2035,550,"Lyon County, Kentucky",21,143
46066,12532,7426,"McCracken County, Kentucky",21,145
12211,3370,640,"McCreary County, Kentucky",21,147
56538,11570,10795,"Madison County, Kentucky",21,151
13034,4396,895,"Marion County, Kentucky",21,155
22834,6350,2669,"Marshall County, Kentucky",21,157
11850,3308,1415,"Mason County, Kentucky",21,161
19549,5410,2093,"Meade County, Kentucky",21,163
15080,4274,1545,"Mercer County, Kentucky",21,167
6997,2297,526,"Metcalfe County, Kentucky",21,169
19104,5817,1641,"Montgomery County, Kentucky",21,173
9862,3074,721,"Morgan County, Kentucky",21,175
31363,9231,3659,"Nelson County, Kentucky",21,179
4918,1789,195,"Nicholas County, Kentucky",21,181
43988,6850,11212,"Oldham County, Kentucky",21,185
7534,2498,936,"Owen County, Kentucky",21,187
10091,3513,786,"Pendleton County, Kentucky",21,191
41689,13738,2981,"Pike County, Kentucky",21,195
8310,2557,999,"Powell County, Kentucky",21,197
1519,501,172,"Robertson County, Kentucky",21,201
11887,4059,858,"Rockcastle County, Kentucky",21,203
12548,3722,1066,"Russell County, Kentucky",21,207
36663,8508,6697,"Scott County, Kentucky",21,209
12312,4714,962,"Simpson County, Kentucky",21,213
13221,3819,1730,"Spencer County, Kentucky",21,215
8138,2731,707,"Todd County, Kentucky",21,219
5973,2295,577,"Trimble County, Kentucky",21,223
9455,3746,559,"Union County, Kentucky",21,225
